,source,source_delfy,target,target_delfy
0,"Translate this sentence from eng to fil: I am convinced that if Jesus showed up in most churches, he would be",5.240800003109786e-06,"So yan ay sa case na si hesus ay nasa majority na,,^_^",9.873347228851351e-06
1,Translate this sentence from eng to fil: full control of the player,1.4800307773411554e-05,buong kontrol sa player,2.852128118225675e-08
2,"Translate this sentence from eng to fil: ""Who can I speak my language with now?""",3.2413040209265657e-07,"""Sino kayang mami-meet o makakausap ko ngayong araw?""",8.52031841423468e-06
3,"Translate this sentence from eng to fil: When he said to his father and his people, ""What do you worship?""",4.2079540614506797e-07," (85) noong nagsabi siya sa ama niya at mga kababayan niya: ""Ano ang sinasamba ninyo?",3.7288147503002636e-06
4,"Translate this sentence from eng to fil: ""But I tell you that anyone who is angry with his brother will be subject to judgment"" (v. 22).",6.769256142845323e-07,"""Ngunit sinasabi ko sa inyo, na ang bawat napopoot sa kanyang kapatid (tulad din ng pagpatay) ay mananagot sa hukuman"" (v. 22).",1.302534918137175e-05
5,Translate this sentence from eng to fil: There are plenty of easy ways to incorporate more fruit and vegetables into your diet.,4.631409405034015e-06,May mga tip upang gawing mas madali upang isama ang higit pang mga prutas at gulay sa iyong pagkain.,2.4474981060770846e-06
6,Translate this sentence from eng to fil: We are evangelicals.,4.135442334120054e-06,Kami ay nag-eebanghelyo.,1.1360404856654745e-05
7,Translate this sentence from eng to fil: word...just rub my ass.,1.028503646506432e-05,Call- kaya basta bonahin nya ako ng bongga.,6.963295664765858e-06
8,"Translate this sentence from eng to fil: The supply and the budget allotment shall be based on, among others, the current levels and projections of the following:",3.749137763398367e-06,"Bukod sa iba pang mga batayan, ang pamamahagi ng supply at badyet ay ibabatay sa kasalukuyang antas at projections ng mga sumusunod:",7.4764898234812515e-06
9,Translate this sentence from eng to fil: It is suitable for making daily household cleaning brush.,6.487863859129816e-06,♣ Angkop para sa araw-araw na paglilinis sa sambahayan.,3.896066623079353e-06
