laser_score,source,target
1.1666123,Translate this sentence from eng to fra: Three reasons sum up the ultra-natalist Israeli politics:,Trois raisons résument la politique ultra-nataliste Israélienne :
1.1428406,Translate this sentence from eng to fra: This functionality serves a great purpose to those who constantly have to work with two windows or applications at the same time.,Cette fonctionnalité est très utile à ceux qui travaillent constamment avec deux fenêtres ou applications en même temps.
1.1449989,"Translate this sentence from eng to fra: “At home,” she said, “life was unbearable, so I started to drink and take drugs when I was very young.","« À la maison », dit-elle, « la vie était insupportable, alors j'ai commencé à boire et à prendre de la drogue quand j'étais très jeune."
1.149881,"Translate this sentence from eng to fra: “The transition to this new world – one that is decentralized, interoperable, secure, and trustworthy – is going to be illuminating.","« La transition vers ce nouveau monde – un monde décentralisé, interopérable, sécurisé et digne de confiance – s'annonce éclairante."
1.1500397,Translate this sentence from eng to fra: We inform you that the charter of mediation of the AMF can be consulted at this same address.,Nous vous informons que la charte de la médiation de l’AMF peut être consultée à cette même adresse.
1.1414686,Translate this sentence from eng to fra: “You can also weigh yourself before exercise and see how many pounds you lose.,«Vous pouvez également vous peser avant de faire de l’exercice et voir combien de kilos vous perdez.
1.1669701,"Translate this sentence from eng to fra: Furthermore, it can identify social labour as the element through which this dualism is constantly reproduced in practice.","En outre, il peut identifier le travail social comme l’élément par lequel ce dualisme est constamment reproduit dans la pratique."
1.1441903,"Translate this sentence from eng to fra: After witnessing the demolitions, a Bedouin activist asked one of the Jewish teenagers why he had agreed to participate in the eviction.","Après avoir assisté aux démolitions, un militant Bédouin a demandé à un des adolescents Juifs pourquoi il avait accepté de participer à cette éviction."
1.1585094,"Translate this sentence from eng to fra: It was therefore decided that the monument would be built next to the chapel, and almost vis-à-vis.","Il fut donc décidé que le monument serait construit à côté de la chapelle, et presque en vis-à-vis."
1.1660973,Translate this sentence from eng to fra: The Eurozone plus other countries such as the United Kingdom may be a better definition.,La zone euro plus d'autres pays comme le Royaume-Uni serait peut-être une meilleure définition.
1.147706,"Translate this sentence from eng to fra: Some people, because they are so dissatisfied with themselves and their lives, try to create problems for us so we will feel bad, too.","Certaines personnes, parce qu'ils sont si mécontents d'eux-mêmes et de leur vie, tentent de créer des problèmes pour nous si nous nous sentons mal, aussi."
1.1397412,Translate this sentence from eng to fra: Mr President now has a unique opportunity to position Nigeria as a leader in rights-respecting laws in Africa by signing the Bill into law.”,"Monsieur le Président a maintenant une occasion unique de positionner le Nigéria en tant que leader des lois respectueuses des droits en Afrique en signant le projet de loi. """
1.1434997,Translate this sentence from eng to fra: But the current Michel Government launched another amnesty operation in 2016.,Mais l'actuel gouvernement Michel a de nouveau lancé une opération d'amnistie en 2016.
1.1430582,"Translate this sentence from eng to fra: The experience was very interesting because, although they were all Muslims, the school was truly Salesian.","Cela a été une expérience très intéressante, parce que, bien qu’ils fussent tous musulmans, l’école était véritablement salésienne."
1.1438241,"Translate this sentence from eng to fra: You can get 5 brewing sizes with this machine, starting with the regular 4 oz. and going up to the 12 oz.","Tu peux recevoir 5 tailles de brassage avec cette machine, en commençant par la normale 4 oz. et aller jusqu'à la 12 oz."
1.142638,Translate this sentence from eng to fra: This also applies to your actions on the platform.,Ceci s’applique également à vos actions sur la plate-forme.
1.1480148,Translate this sentence from eng to fra: Q: “The world will never be the same after 11.09.01”.,"""Le monde ne sera jamais pareil après le 11.09.01""."
1.1631093,Translate this sentence from eng to fra: One had business to conduct but kept being sent to other offices.,L’un avait des affaires à mener mais continuait à être envoyé à d’autres bureaux.
1.1417655,"Translate this sentence from eng to fra: Moreover, you have deep knowledge of the law and functioning of the European Union.","De plus, vous avez une connaissance approfondie de la loi et du fonctionnement de l'Union européenne."
1.149576,Translate this sentence from eng to fra: It is a functional and reactive approach to what the police are.,C’est une approche fonctionnelle et réactive de ce qu’est la police.
1.1483227,Translate this sentence from eng to fra: Why Is Gymnastics More Difficult After Puberty?,Pourquoi La Gymnastique Est-Elle Plus Difficile Après La Puberté?
1.151838,"Translate this sentence from eng to fra: Not your brother, but your Saviour...","Pas votre frère, mais votre Sauveur..."
1.1595329,Translate this sentence from eng to fra: * Reference intake authorized by the Higher Council of Health in agreement with EFSA.,* Apport de référence autorisé par le conseil supérieur de la santé en accord avec l'EFSA.
1.1404412,Translate this sentence from eng to fra: Google executives haven’t talked about how Glass will make money.,Les dirigeants de Google n’ont pas parlé de la façon dont le Glass va les faire gagner de l’argent.
1.1427131,"Translate this sentence from eng to fra: However, the study finds that social protection deficits for domestic workers also persist in some industrialized countries.","Cependant, l’étude montre que des lacunes persistent aussi dans la protection sociale des travailleurs domestiques dans certains pays industrialisés."
