laser_score,source_sentence_lid,target_sentence_lid,source_sentence_source,source_sentence_url,target_sentence_source,target_sentence_url,source,target
1.1253873,0.99943,0.99997,paracrawl20211101,_,crawl-data/CC-MAIN-2021-39/segments/1631780056392.79/wet/CC-MAIN-20210918093220-20210918123220-00020.warc.wet.gz,https://tl.usa-casino-online.com/austrian-online-casino-sites/,"Translate this sentence from eng to fil: Is the largest organization of ""Casinos Austria,"" it operates 12 casinos and includes other organizations according to the principle of holding.","Ang pinakamalaking samahan ng ""Casinos Austria,"" nagpapatakbo ito ng 12 casino at may kasamang ibang mga organisasyon alinsunod sa prinsipyo ng paghawak."
1.0817568,0.99992,0.99999,paracrawl20211101,_,paracrawl9_hieu,_,Translate this sentence from eng to fil: During this year she also taught as a part-time instructor in the mathematics department of New York University.,Sa mga oras na taon na siya ring itinuro bilang isang part-time instructor sa matematika departamento ng New York University.
1.0847279,0.99994,0.99996,crawl-data/CC-MAIN-2019-30/segments/1563195525374.43/wet/CC-MAIN-20190717181736-20190717203736-00422.warc.wet.gz,http://koinonianews.com/2019/04/02/understanding-the-catholic-teaching-magisterium/,crawl-data/CC-MAIN-2021-25/segments/1623488253106.51/wet/CC-MAIN-20210620175043-20210620205043-00123.warc.wet.gz,https://wp-tl.wikideck.com/Kristiyanismo,Translate this sentence from eng to fil: Monophysitism - The belief that Jesus only has one nature,Monopisismo: Ang paniniwalang si Hesus ay may isa lamang kalikasan.
1.0923586,1.00001,0.99999,crawl-data/CC-MAIN-2021-21/segments/1620243988882.94/wet/CC-MAIN-20210508151721-20210508181721-00018.warc.wet.gz,https://forum.bodybuilding.com/showthread.php?t=180010853&s=42e1df9626953f5f233bd5e8d117d246,crawl-data/CC-MAIN-2021-31/segments/1627046153931.11/wet/CC-MAIN-20210730025356-20210730055356-00511.warc.wet.gz,https://balita.net.ph/2016/04/05/tibay-at-lakas/,Translate this sentence from eng to fil: We all know about his work ethic.,Alam naman natin ang work ethic niya.
1.092628,0.98718,0.99934,crawl-data/CC-MAIN-2021-39/segments/1631780057018.8/wet/CC-MAIN-20210920040604-20210920070604-00352.warc.wet.gz,https://m.fanfiction.net/u/7169569/fandomsforever2003,crawl-data/CC-MAIN-2020-45/segments/1603107890028.58/wet/CC-MAIN-20201025212948-20201026002948-00161.warc.wet.gz,https://tl.fanpop.com/clubs/music/picks/88,"Translate this sentence from eng to fil: Getting back together: Impossible, by Shontelle",ang napili ng mga taga-hanga: Impossible sa pamamagitan ng Shontelle
1.0799756,1.00001,1.00001,crawl-data/CC-MAIN-2021-49/segments/1637964358702.43/wet/CC-MAIN-20211129074202-20211129104202-00298.warc.wet.gz,https://markets.winslowevanscrocker.com/winslow/news/read/41885177/save_time_with_zoom_recording_feature.,crawl-data/CC-MAIN-2020-45/segments/1603107876136.24/wet/CC-MAIN-20201021064154-20201021094154-00461.warc.wet.gz,https://seguidores.online/tl/online-na-basketball/,"Translate this sentence from eng to fil: With this app, you won't miss a single key point that you can share with your colleagues.",Gamit ang application na ito hindi mo makaligtaan ang isang solong detalye ng iyong mga paboritong koponan.
1.1260964,0.99999,1.0,crawl-data/CC-MAIN-2019-22/segments/1558232255773.51/wet/CC-MAIN-20190520061847-20190520083847-00316.warc.wet.gz,https://thelutheranreview.org/2018/02/,paracrawl9_hieu,_,Translate this sentence from eng to fil: After that comes the resurrection.,Tapos ang muling pagkabuhay ay talagang naganap.
1.0835885,0.99507,0.99084,crawl-data/CC-MAIN-2017-39/segments/1505818693459.95/wet/CC-MAIN-20170925220350-20170926000350-00473.warc.wet.gz,http://www.sheknows.com/parenting/articles/1128388/not-liking-kid-pictures-facebook,crawl-data/CC-MAIN-2018-22/segments/1526794864999.62/wet/CC-MAIN-20180522225116-20180523005116-00349.warc.wet.gz,https://www.lds.org/general-conference/2012/10/protect-the-children?lang=tgl&_r=1&media=audio,Translate this sentence from eng to fil: I'm talking about pictures of children - they're everywhere.,Nagsalita na ako alang-alang sa mga bata - mga bata sa lahat ng dako.
1.1088758,0.99999,1.00001,crawl-data/CC-MAIN-2019-09/segments/1550247506094.64/wet/CC-MAIN-20190221172909-20190221194909-00460.warc.wet.gz,https://www.cryptosavvy.com/2019/01/fight-varicose-veins.html,crawl-data/CC-MAIN-2021-17/segments/1618038464045.54/wet/CC-MAIN-20210417192821-20210417222821-00402.warc.wet.gz,https://diskusyon24.online/6-home-remedies-para-mawala-ang-pagmamanas-ang-manas-o-edema,Translate this sentence from eng to fil: Your feet must be above the level of your heart.,Dapat ay mas mataas ang level ng iyong mga paa sa iyong puso.
1.1243824,0.9999,1.00001,crawl-data/CC-MAIN-2019-35/segments/1566027317359.75/wet/CC-MAIN-20190822194105-20190822220105-00327.warc.wet.gz,https://thehappypuppysite.com/raw-meat-for-dogs/,crawl-data/CC-MAIN-2021-49/segments/1637964359976.94/wet/CC-MAIN-20211201083001-20211201113001-00289.warc.wet.gz,https://tl.dachshundtrainingtips.com/raw-meat-dogs-is-it-safe,Translate this sentence from eng to fil: If you look at this page on the FDA's website you will find a list of recent pet food recalls.,Kung titingnan mo itong pahina sa website ng FDA makikita mo ang isang listahan ng mga kamakailang pag-alaala ng alagang hayop.
1.0887899,0.99959,0.81151,crawl-data/CC-MAIN-2021-21/segments/1620243991648.10/wet/CC-MAIN-20210511153555-20210511183555-00400.warc.wet.gz,https://blog.mykukun.com/tiny-home-storage-ideas/,crawl-data/CC-MAIN-2017-22/segments/1495463607848.9/wet/CC-MAIN-20170524152539-20170524172539-00115.warc.wet.gz,http://www.archive.org/stream/sarajevo_dobrinja_35/Quran_Philippine_Iranon_Language_djvu.txt,"Translate this sentence from eng to fil: And, they stay hidden from prying eyes.","Matatago kiran a Mapiya, na Mata-"
1.0778403,0.99977,1.00001,crawl-data/CC-MAIN-2021-25/segments/1623487607143.30/wet/CC-MAIN-20210613071347-20210613101347-00402.warc.wet.gz,https://srcrawford.co.uk/tag/strong-mind/,crawl-data/CC-MAIN-2021-31/segments/1627046153931.11/wet/CC-MAIN-20210730025356-20210730055356-00493.warc.wet.gz,https://ph-brainanswers.com/teg/cat2093,Translate this sentence from eng to fil: Here's what it means to be strong...,Anu ang kahulugan ng matatag...
