laser_score,source,target
1.1601017,"Translate this sentence from eng to deu: He catches one stupid little ball, and everybody in New York (loves) this guy, because that’s the biggest amount of media in the world. ...","Er fängt einen dummen kleinen ball, und jeder in new york (liebt) diesen typ, weil das die größte menge an medien in der welt ist."
1.1347027,Translate this sentence from eng to deu: Launching Sara Fitz together has been a hope of ours for many years.,Der gemeinsame Start von Sara Fitz ist seit vielen Jahren eine Hoffnung für uns.
1.1370325,Translate this sentence from eng to deu: Find the shorter of the two base lines (the parallel sides).,Finde die kürzere der beiden Grundlinien (der parallelen Seiten).
1.1422851,Translate this sentence from eng to deu: 500 B.C. on the basis of pantheistic Brahmanism.,500 v. Chr. auf der Grundlage der pantheistic Brahminism.
1.1424539,Translate this sentence from eng to deu: All Might tells Izuku to think about it and that he won't force Izuku to do it.,"All Might sagt Izuku, dass er darüber nachdenken soll und dass er Izuku nicht zwingen wird, es zu tun."
1.1332194,"Translate this sentence from eng to deu: It is, of course, possible that he is linked with it through some former guilt or, alternatively, that the spirit is bound to him.","Natürlich ist es möglich, daß er damit verbunden ist durch eine frühere Schuld oder umgekehrt, daß der Geist an ihn gebunden ist."
1.1604813,"Translate this sentence from eng to deu: Ironically, today the most stable and secure state in the region is Iran, with the foresight and capability to proactively contribute to resolving regional crises.","Ironischerweise ist heute der stabilste und sicherste Staat in der Region Iran, mit der Weitsicht und der Fähigkeit, proaktiv zur Lösung regionaler Krisen beizutragen."
1.1361614,Translate this sentence from eng to deu: Hong Kong Disneyland unveils third and largest hotel,Hong Kong Disneyland baut drittes und größtes Hotel
1.1515067,Translate this sentence from eng to deu: Israel must accept the fact that religious elements are now a part of the political scene all over the Arab world.,"Israel muss akzeptieren, dass religiöse Elemente nun Teil der politischen Szene in der ganzen arabischen Welt sind."
1.1595609,"Translate this sentence from eng to deu: “We did not return from 2,000 years of exile to agree to a Palestinian state.","Wir sind doch nicht aus dem 2.000-jährigen Exil zurückgekehrt, um einem palästinensischen Staat zuzustimmen."
1.1399413,"Translate this sentence from eng to deu: Men start turning to porn, and then they stop turning to their wives.","Männer fangen an, pornos zu werden, und dann hören sie auf, sich ihren frauen zuzuwenden."
1.1313446,Translate this sentence from eng to deu: - A Chuck Norris-delivered Roundhouse Kick is the preferred method of execution in 16 states.,Ein Chuck-Norris-Roundhouse-Kick ist die bevorzugte Hinrichtungsmethode in 16 Staaten.
1.1354151,Translate this sentence from eng to deu: Even casual DIYers and beginning woodworkers will want one of these helpful tools in the toolbox.,Selbst Gelegenheits-Heimwerker und beginnende Holzarbeiter werden eines dieser hilfreichen Werkzeuge in der Toolbox haben wollen.
1.1349388,"Translate this sentence from eng to deu: What’s wrong with having one-sided views against rape of genocide, for example?","Was ist daran falsch, beispielsweise einseitige Ansichten gegen Völkermord zu haben?"
1.1357669,Translate this sentence from eng to deu: ...that Dove Cameron was bullied in her school years?,... dass Dove Cameron in ihrer Schulzeit gemobbt wurde?
1.1344827,Translate this sentence from eng to deu: 13 Annex III to Directive 2003/87 sets out 11 criteria applicable to NAPs.,"13Anhang III der Richtlinie 2003/87 nennt elf Kriterien, die für die NZP gelten."
1.1402742,"Translate this sentence from eng to deu: This illustrates the efficacy of direct action, horizontality, and the refusal to negotiate.","Dies veranschaulicht die Wirksamkeit von Direkten Aktionen, der Horizontalität und der Weigerung zu verhandeln."
1.1563971,"Translate this sentence from eng to deu: Personally, I’m into having a separate app, but you do you.","Persönlich habe ich eine separate App, aber Sie tun es."
1.133539,Translate this sentence from eng to deu: “Vincent is not at the end of his life.,"""Vincent ist nicht am Ende seines Lebens angelangt"""
1.141955,"Translate this sentence from eng to deu: In addition there will be no democracy without full recognition of Israel’s rights in its historic homeland, or unless the ideology of jihad against non-Muslims ceases.","Im übrigen wird es keine Demokratie geben ohne die volle Anerkennung von Israel in seiner historischen Heimat, oder wenn der ideologische Jihad gegen Nicht-Muslime nicht aufhört."
1.1406043,Translate this sentence from eng to deu: Probably the biggest challenge in developing and introducing the new system solution was to understand Edscha’s complex processes in detail and to integrate them into the system architecture.,"Die wohl größte Herausforderung bei der Entwicklung und Einführung der neuen Systemlösung bestand darin, die komplexen Prozesse bei Edscha in allen Details zu verstehen und in die Systemarchitektur zu integrieren."
1.1443815,"Translate this sentence from eng to deu: Somehow, we doubt that the casinos call them up to a room in the back (as always seems to happen in these cases) and tells them the machine screwed up and they actually won.","Irgendwie bezweifeln wir, dass die casinos sie bis zu einem raum im rücken anrufen (wie es in diesen fällen immer der fall zu sein scheint) und ihnen sagt, die maschine hat sich aufgeschraubt und sie haben tatsächlich gewonnen."
1.1525949,Translate this sentence from eng to deu: 2015 // Ludger Heidbrink: The Limitations of Responsibility,2015 // Ludger Heidbrink: Die Grenzen der Verantwortung
1.1321036,Translate this sentence from eng to deu: The purpose of it was to gather the faith and strength of the 1.3 billion’s descendants of the dragon.,"Ziel war es, den Glauben und die Stärke der 1,3 Milliarden Nachkommen des Drachen zu sammeln."
1.1345638,"Translate this sentence from eng to deu: Bill Clinton was on the guest list along with many other well-known, high-powered people.","Bill Clinton war auf der Gästeliste zusammen mit vielen anderen bekannten, High-Power-Menschen."
1.137257,"Translate this sentence from eng to deu: A decade ago, 32 million people were in need of urgent humanitarian assistance - today that number is over 125 million.","Vor zehn Jahren gab es 32 Millionen Menschen, die dringend humanitäre Hilfe benötigten – heute sind es mehr als 125 Millionen."
1.1433729,"Translate this sentence from eng to deu: If you doubt that … well, just ask Jeremy Corbyn.","Wenn ihr daran zweifelt… nun, fragt einfach Jeremy Corbyn."
1.1338315,"Translate this sentence from eng to deu: Eventually, he contracted HIV and died of AIDS when I was 21.","Schließlich erkrankte er an HIV und starb an AIDS, als ich 21 war."
