laser_score,source_sentence_lid,target_sentence_lid,source_sentence_source,source_sentence_url,target_sentence_source,target_sentence_url,source,target
1.0971587,0.99997,0.99982,crawl-data/CC-MAIN-2018-30/segments/1531676590199.42/wet/CC-MAIN-20180718135047-20180718155047-00400.warc.wet.gz,http://www.pearltrees.com/kirknh/kirk-communications/id14369212,paracrawl9_hieu,_,"Translate this sentence from eng to hat: Since it's launch in 2010, Pinterest has become an increasingly useful and relevant social media platform to grow your business online.","Depi se anlanse nan 2010, Pinterest te devni yon platfòm de pli zan pli itil epi konvenab medya sosyal pou devlope sou liy biznis ou."
1.0600024,0.99998,0.99999,crawl-data/CC-MAIN-2017-09/segments/1487501174159.38/wet/CC-MAIN-20170219104614-00462-ip-10-171-10-108.ec2.internal.warc.wet.gz,http://www.religion-online.org/showarticle.asp?title=1307,paracrawl9_marta,_,Translate this sentence from eng to hat: people insist that Jesus will return at any moment.,Jezi ap retounen nenpòt ki moman.
1.0625682,0.99967,0.99974,crawl-data/CC-MAIN-2020-24/segments/1590348523564.99/wet/CC-MAIN-20200607044626-20200607074626-00019.warc.wet.gz,https://www.bbc.co.uk/blogs/theeditors/2006/06/gaza_stories.html,crawl-data/CC-MAIN-2021-31/segments/1627046151699.95/wet/CC-MAIN-20210725143345-20210725173345-00622.warc.wet.gz,http://www.lescrutateur.com/article-32049915.html,"Translate this sentence from eng to hat: Everything is written in passive voice: ""were seized,"" ""was hit,"" ""were also destroyed"" - by WHO?","Chanté-a ka di "" Sé pou la viktwa nou ka alé "" mé: Nou ka alé pou laviktwa kimoun oben ki sa ?"
1.0688307,0.98213,0.93985,crawl-data/CC-MAIN-2020-50/segments/1606141686635.62/wet/CC-MAIN-20201202021743-20201202051743-00042.warc.wet.gz,https://www.famousfix.com/list/american-screwball-comedy-films,crawl-data/CC-MAIN-2017-51/segments/1512948521292.23/wet/CC-MAIN-20171213045921-20171213065921-00160.warc.wet.gz,http://songmeanings.com/artist/view/songs/8213/,Translate this sentence from eng to hat: Who's That Girl 0 0,Que Se Bote 0
1.069045,1.0,0.99909,crawl-data/CC-MAIN-2021-49/segments/1637964358966.62/wet/CC-MAIN-20211130080511-20211130110511-00594.warc.wet.gz,https://takeupcross.com/lord-christ/i-am-his/,crawl-data/CC-MAIN-2018-09/segments/1518891814801.45/wet/CC-MAIN-20180223154626-20180223174626-00476.warc.wet.gz,https://www.jw.org/ht/piblikasyon-yo/peryodik/etid-toudegad-fevriye-2017/%C3%A8ske-bondye-deside-alavans-ki-epr%C3%A8v-l-ap-kite-nou-jwenn/,"Translate this sentence from eng to hat: Oh, what a comfort this is.",Se pa ti konsole panse sa a konsole nou!
1.0584286,0.9988,1.00001,crawl-data/CC-MAIN-2018-09/segments/1518891807825.38/wet/CC-MAIN-20180217204928-20180217224928-00551.warc.wet.gz,http://mcalvanynews.com/july-1-2015-paper-castles-and-21st-century-feudalism/,paracrawl9_philipp,_,"Translate this sentence from eng to hat: Again, I think we are talking about a philosophical difference.","Ankò, mwen kwè gen yon sèten koneksyon sou nivo filozofik la."
1.0978931,0.9992,0.81299,crawl-data/CC-MAIN-2017-51/segments/1512948599156.77/wet/CC-MAIN-20171217230057-20171218012057-00087.warc.wet.gz,http://forum.theppk.com/viewtopic.php?p=685581,crawl-data/CC-MAIN-2021-04/segments/1610703548716.53/wet/CC-MAIN-20210124111006-20210124141006-00707.warc.wet.gz,https://www.meneame.net/story/boom-gambito-dama-asociaciones-cuentan-20-millones-mas-jugadores,Translate this sentence from eng to hat: #18 is just amazing.,#18 Yo te animo.
1.0615942,1.0,0.99998,crawl-data/CC-MAIN-2021-25/segments/1623487634576.73/wet/CC-MAIN-20210617222646-20210618012646-00394.warc.wet.gz,https://centralfallout.com/steve-carell-wife/,paracrawl9_wide00016,_,"Translate this sentence from eng to hat: It is called ""My Mother's Fleabag.""","It's called ""se manman mwen ki fè diri dou."""
1.0818982,1.00001,1.00001,paracrawl20211101,_,paracrawl9_philipp,_,"Translate this sentence from eng to hat: In addition, illegally shot video of the film, which is made using this technology, not only does not convey all of its splendor, but it makes the film almost incapable of re-viewing.","Anplis de sa, ilegalman tire videyo nan fim nan, ki se te fè lè l sèvi avèk teknoloji sa a, se pa sèlman pa pote tout bèl li yo, men li fè fim nan prèske anmezi pou gade re-."
1.0961063,0.99887,0.99996,crawl-data/CC-MAIN-2021-17/segments/1618038863420.65/wet/CC-MAIN-20210419015157-20210419045157-00001.warc.wet.gz,https://blog.ethicalmusings.com/2019/11/the-real-prosperity-gospel.html,paracrawl9_philipp,_,"Translate this sentence from eng to hat: Never forget, Jesus was a Jew.",Pa janm bliye ke Jesus te yon prizonye.
