,source,source_delfy,target,target_delfy
0,"Translate this sentence from eng to afr: Sorry to sound so negative, but it is the truth.",8.091027224701795e-06,"Jammer om negatief te klink, maar dis alles die waarheid.",4.831884009976156e-06
1,Translate this sentence from eng to afr: We're better than this f*cking league.,6.023999290779974e-06,Alles is beter dan die verdomde Jupiler league.,1.241496349094222e-05
2,Translate this sentence from eng to afr: All the food and...,4.531001407513324e-05,Alle voedsels en ...,1.2101420751242163e-05
3,"Translate this sentence from eng to afr: Every guy is free to make his own thing, within the rules.",1.0750418543340294e-07,"Elke ou is vry om sy eie ding te doen, binne die reëls.",3.2157097610650836e-06
4,"Translate this sentence from eng to afr: This is particularly useful for uploading images which you want to place on a page, but you can also upload other types of files.",6.889626148187197e-06,"Dit is veral nuttig om prente wat u op 'n bladsy wil plaas, op te laai, maar u kan ook ander soorte lêers oplaai.",5.463947039757321e-06
5,Translate this sentence from eng to afr: The realm of the Dating arena.,1.91421787526101e-05,Die dating arena.,4.375680557545576e-06
6,"Translate this sentence from eng to afr: When did you start writing, and what was the first thing you ever got published?",1.2384410490339315e-06,Wanneer het jy al begin skryf en wat was jou eerste verhaal?,2.515826243953946e-06
7,Translate this sentence from eng to afr: These vendors should be in the same room as the bride and groom.,7.704961491766599e-06,Beste vriende moet aan dieselfde tafel sit as die bruid en bruidegom.,5.28782682998612e-06
8,Translate this sentence from eng to afr: I hope he is never allowed to be around children again.,1.2171721602379783e-06,ek hoop dat hy ook NOOIT weer naby kinders toegelaat sal word nie,3.770404696494484e-06
9,"Translate this sentence from eng to afr: In a more recent meta-analysis of 33 randomised trials of over 50,000 older adults, supplementation with calcium or vitamin D had no effect on the incidence of fractures.",6.222777624211446e-06,"in 'n meer onlangse meta-analise van 33-gerandomiseerde proewe van meer as 50,000 ouer volwassenes, het aanvulling met kalsium of vitamien D geen effek op die voorkoms van frakture gehad nie.",9.803350442278965e-06
10,Translate this sentence from eng to afr: Effort is often just as important as results.,8.283074826672226e-07,Harde werk is net so belangrik as resultate.,8.102973228921913e-07
11,Translate this sentence from eng to afr: Tomorrow it may be another one.,9.905668434838045e-06,môre 'n ander mag wees,1.6261114201322402e-07
12,Translate this sentence from eng to afr: Make sure to naturally integrate the keywords in the content.,9.5179793473814e-06,Integreer sleutelwoorde natuurlik in inhoud,8.467311897250139e-06
13,Translate this sentence from eng to afr: He received his Ph.D. in sociology from ...,1.4837535925997088e-05,Sy het haar Ph.D. in sosiologie van ...,2.0262397254227045e-05
14,Translate this sentence from eng to afr: Reese witherspoon pictures and photos.,5.114933388804126e-06,Reese Witherspoon Bilder & Fotos,1.9660121585436558e-05
15,Translate this sentence from eng to afr: Sometimes they shot the occupants.,7.606912485599062e-06,Hulle het soms hulle eie soldate doodgemaak.,5.219668378920866e-06
16,Translate this sentence from eng to afr: He tells them that this is His body which is broken for them.,3.346268258702228e-06,Hy het vir hulle gesê dat dit sy liggaam is wat vir hulle gebreek word.,2.3587848059533937e-05
17,Translate this sentence from eng to afr: Maybe you are in a situation where you are under attack.,4.625523176447514e-06,Miskien is jy in 'n situasie waar jy uitgebuit word.,1.962140522210088e-05
18,"Translate this sentence from eng to afr: ""A lot of the people smoke there.",7.223435151833294e-06,Meeste van die mense rook hier.,7.979882591669678e-06
19,Translate this sentence from eng to afr: One of the advantages of a forum,8.540504052760938e-06,Voordele van 'n forum,9.988610202867693e-06
20,Translate this sentence from eng to afr: This is part of our Consumer Value Policy.,6.7285785206807945e-06,Dit maak deel uit van ons markwaarde.,5.186323179283472e-06
21,"Translate this sentence from eng to afr: Yeah, but it's not urine, of course not.",4.239333772924403e-06,"Ja, en nie van urine nie, dit is waarskynlik.",4.845097158555481e-05
22,Translate this sentence from eng to afr: These Terms and Conditions could have been translated if We have made them be had to You on our Service.,9.860036226811174e-07,Hierdie bepalings en voorwaardes is moontlik vertaal as ons dit aan u beskikbaar gestel het op ons diens.,1.2884999803287897e-05
23,"Translate this sentence from eng to afr: He said, ""We have all seen the knee of injustice on the necks of black America.""",6.947109849953024e-06,'Ons het almal die knie van onreg op die nek van Black America gesien.,1.681448450094139e-05
24,Translate this sentence from eng to afr: developed from the Federal government's substantial investment,2.792304305986456e-05,Groot belegging van die Sweedse regering,8.705632129478626e-06
25,Translate this sentence from eng to afr: Tell the world that I am coming home.,1.1806247392230054e-07,Sê vir die wêreld ek kom huis toe.,6.143122321227494e-07
26,"Translate this sentence from eng to afr: You might also feel uncomfortable if children have mixed feelings about their biological parents, or feel closer to you than to their biological parents.",1.8776540723463728e-06,"U kan ook ongemaklik voel as kinders gemengde gevoelens oor hul biologiese ouers het, of nader aan u voel as aan hul biologiese ouers.",6.492604090592735e-06
27,"Translate this sentence from eng to afr: There's still time for a bit of experimenting, but these are the years when you should start figuring out your style, and it starts by going through your closet and tossing the pieces that don't belong there so you can start to dress your age.",3.905671272029608e-06,"Daar is nog tyd vir 'n bietjie eksperimenteer, maar dit is die jare wanneer u u styl moet begin uitvind, en dit begin deur deur u kas te gaan en die stukke wat nie daar hoort nie, te gooi.",1.0340641074977594e-05
28,"Translate this sentence from eng to afr: Around 1971, after 'Blue,' it was reported that you had retired from the road.",8.259437791918931e-06,"Omstreeks 1971, daarna Blou, is berig dat u van die pad afgetree het.",1.1288466343225505e-05
29,Translate this sentence from eng to afr: MY life is stable.,1.1802983214951646e-05,Nou is my lewe stabiel.,6.202144723078434e-06
30,Translate this sentence from eng to afr: Would you say that you're the type of person that likes to flirt?,3.374173881984092e-06,Of dalk is jy net 'n persoon wat daarvan hou om te flirt?,4.823070907424318e-06
31,"Translate this sentence from eng to afr: FIRST FIVE FOR THE WORLD: Doshi's commitment to give 5% of revenue to charities benefiting animals, people and the environment.",4.9681030202360565e-06,"EERSTE VYF VIR DIE WORRELD: Doshi se verbintenis om 5% van die inkomste te gee aan liefdadigheidsorganisasies wat diere, mense en die omgewing bevoordeel.",7.137106644316799e-06
32,Translate this sentence from eng to afr: It should be noted that More than one thousand species of mushrooms grow in the forests of Germany and neighboring countries.,4.613478505355418e-06,Daar moet kennis geneem word dat Meer as duisend sampioensoorte groei in die woude van Duitsland en buurlande.,5.348532426044381e-06
33,Translate this sentence from eng to afr: This dog can do well in an apartment as long as it is taken for daily walks.,2.8228497556129063e-06,Hierdie hond kan goed doen in 'n woonstel as hy daagliks stap.,8.358861522316894e-06
34,Translate this sentence from eng to afr: known Ken since he was four years old.,1.4991003561023906e-06,Ken Vince al sedert hy 4 jaar oud is.,4.033807874404086e-06
35,Translate this sentence from eng to afr: All of the Karma is settled.,7.660397567307513e-06,Alle karma is ongedaan gemaakt.,1.6487003947412333e-05
36,Translate this sentence from eng to afr: The verdict: very useful.,7.899425320402377e-06,Beoordeling: Heel handig.,3.5044122482167174e-06
37,"Translate this sentence from eng to afr: On Monday I met with Roger Williams, President of the Emergent Leadership Institute.",6.822540677816114e-06,"Op Maandag het ek met Roger Williams, president van die Ontluikende Leierskapinstituut.",2.0225120609773335e-05
38,"Translate this sentence from eng to afr: Hate the rap music, though.",4.013413435329441e-06,Ek haat rap musiek.,9.079971858400624e-06
39,Translate this sentence from eng to afr: Burn up to 15 hours.,2.3172993151487198e-05,Rook tot 15 uur.,1.477198316296129e-09
40,Translate this sentence from eng to afr: 100 meters from the sea!!,2.6006477814743983e-05,100 Meter van die See af!!,1.6286665116428672e-05
41,"Translate this sentence from eng to afr: So, again, this is a terrific platform if you're planning on growing your business.",2.2374246704028534e-06,"Dus, dit is weer 'n wonderlike platform as u van plan is om u besigheid te laat groei.",1.8042847390129313e-05
42,Translate this sentence from eng to afr: The End of Silent Valley,1.473600145219492e-05,Einde stille vallei,2.13036974114836e-06
43,"Translate this sentence from eng to afr: But with that, Charles, over to you.",1.4608632790610106e-05,"Daarmee, Chris, aan jou.",9.384386597557127e-06
44,Translate this sentence from eng to afr: She knew who I was and why I was there.,1.4583242305951485e-06,Sy het geweet waar ek was en hoekom ek daar was.,3.211894967157424e-06
45,"Translate this sentence from eng to afr: Throughout your child's very first year in school, much time will certainly be invested in learning how to check out and they needs to understand that this is enjoyable and rewarding.",2.264294694130575e-06,In jou kind se eerste skooljaar sal baie tyd spandeer word aan hoe om te lees en sy moet besef dat dit lekker en waardevol is om te kan lees.,9.624203615931878e-06
46,Translate this sentence from eng to afr: This is the only toy,1.5886415614633695e-05,Dit was het enige speelgoed,7.539890266458832e-06
47,Translate this sentence from eng to afr: Online analytical processing server olap is based on the multidimensional data model.,6.798606319805492e-06,Aanlyn analitiese verwerking Server (OLAP) is gebaseer op die multidimensionele data model.,1.0378100521269463e-05
48,Translate this sentence from eng to afr: I live for adventure and new things.,5.508915604107395e-06,Ek is opsoek na avontuur en nuwe dinge,7.1840467861357525e-06
49,"Translate this sentence from eng to afr: The book ""Chess for children ""written by Igor Sukhin, a researcher at the Institute for Educational Theory, is one of the most effective.",6.777116492217698e-06,"Die boek ""Skaak vir kinders ""geskryf deur Igor Sukhin, 'n navorser aan die Instituut vir Opvoedkundige Teorie, is een van die doeltreffendste.",1.3403879165290246e-05
50,Translate this sentence from eng to afr: The Germans soon,2.827662676656137e-05,Tyskland soon,1.8152134478067792e-05
51,Translate this sentence from eng to afr: So it's not always easy to see these signs.,6.224078022142268e-06,Dit is nie altyd maklik om die tekens te sien nie.,2.2718056993593447e-05
52,"Translate this sentence from eng to afr: It was a trap, and a peculiarly",7.113226312499833e-06,Langerug en is 'n besonder,1.4759629675581144e-05
53,Translate this sentence from eng to afr: So what is Oolong Tea?,1.5753082363381858e-05,Wat is Oolong Tee?,6.4600968150301e-06
54,Translate this sentence from eng to afr: Is this real? 2.,2.6228232711688475e-05,Is dit waar? 2.,6.48091194921428e-05
55,"Translate this sentence from eng to afr: ""I've been awake since eleven.""",4.24054090223068e-06,"""Ek is al van 01:00 af wakker.",5.23079628236221e-06
56,"Translate this sentence from eng to afr: ""I was trying to find every VHS tape I could find and tried to learn how to coach a young kid,""",4.203838161349745e-06,"""Ek het probeer om elke VHS-band te vind wat ek kon vind en probeer leer hoe om 'n jong kind af te lei,"" het hy gesê.",1.0650395659692487e-05
57,Translate this sentence from eng to afr: Dispatches from France: You know it's funny,6.064745042852124e-06,mits kennis van Frans is dit grappig,1.3142297859154619e-05
58,Translate this sentence from eng to afr: Use of photos and videos.pdf,7.444764506640375e-06,Toestemming gebruik foto's en video's.pdf,8.1953075051031e-06
59,"Translate this sentence from eng to afr: ""Why go out with just one glove?""",2.751771567485167e-06,Hoekom tevrede wees met net 1 bril?,3.0248601156902195e-06
60,Translate this sentence from eng to afr: It keeps hot drinks hot for up to 12 hours.,2.0727251438926773e-06,Die persoon moet vir 12 uur lank warm drankies vermy.,1.1408603984716293e-06
61,"Translate this sentence from eng to afr: ""Doctor, is that serious?""",6.781101206952117e-06,"Dokter, is het ernstig? - breun",7.28790444972505e-06
62,"Translate this sentence from eng to afr: They include the presidents of Namibia, Angola, Sri Lanka, the South African Republic, Gabon, Guyana and Nigeria; the prime ministers of Bangladesh and Kazakhstan; a UN Chief Executive Officer on Education, Culture and Science; and a Director of CEPES.Peoples' Friendship University of Russia-Wikipedia",6.6577281536306005e-06,"Dit sluit presidente van Namibië, Angola, Sri Lanka, die Zuid-Afrikaansche Republiek, Gaboen, Guyana en Nigerië; premiers van Bangladeshand Kazakstan; 'n Hoof Uitvoerende Beampte VN oor Onderwys, Kultuur en Wetenskap; en 'n direkteur van CEPES.",1.1555274136144417e-05
63,Translate this sentence from eng to afr: The kids love to give.,3.473726363091023e-05,Kinders is lief om te gee.,3.651957454211093e-06
64,"Translate this sentence from eng to afr: In general, self-medication is best not to deal with, because surgeons claim that the boil is not at all safe.",6.095106602067479e-06,"In die algemeen, self-behandeling is beter om nie te doen nie, want chirurge beweer dat die kookpunt is nie veilig nie.",1.4889163632066572e-05
65,Translate this sentence from eng to afr: coyote at her side.,5.755969809171418e-06,Cooee beside her.,1.9730402762590077e-05
66,Translate this sentence from eng to afr: Only the lamp.,5.2218725232862754e-06,Alleen die lamp hé.,1.8152131126863848e-05
67,"Translate this sentence from eng to afr: Not by Terry, however.",1.0507251631117227e-05,nie Terry.,1.5505361807696086e-05
68,"Translate this sentence from eng to afr: we do not live by bread alone,",2.853482518952852e-06,"Want ons leef nie van brood alleen,",7.253495306404959e-07
69,"Translate this sentence from eng to afr: From this time forth, man may choose to no longer be enslaved by darkness; his destiny can then be certain.",4.4109431805135424e-06,Van hierdie tyd af kan die mens kies om nie meer deur duisternis verslaaf te word nie; sy lot kan dan seker wees.,7.481153745214796e-06
70,"Translate this sentence from eng to afr: For example, oxytocin floods a new mother at the birth of a child and it spikes during sex.",4.6625098182552005e-06,"Byvoorbeeld, oksitosien vloed 'n nuwe moeder by die geboorte van 'n kind en spyk tydens seks.",6.960906629976545e-06
